"","Metabolite","Cluster"
"C16:1.SM","C16:1.SM",3
"C16:0.SM","C16:0.SM",3
"C18:2.SM","C18:2.SM",3
"C18:1.SM","C18:1.SM",3
"C18:0.SM","C18:0.SM",3
"C22:1.SM","C22:1.SM",3
"C22:0.SM","C22:0.SM",3
"C24:1.SM","C24:1.SM",3
"C24:0.SM","C24:0.SM",3
"C34:2.DAG","C34:2.DAG",3
"C34:1.DAG","C34:1.DAG",3
"C36:2.DAG","C36:2.DAG",3
"C36:1.DAG","C36:1.DAG",3
"C14:0.CE","C14:0.CE",4
"C16:1.CE","C16:1.CE",4
"C16:0.CE","C16:0.CE",4
"C18:3.CE","C18:3.CE",4
"C18:2.CE","C18:2.CE",4
"C18:1.CE","C18:1.CE",4
"C18:0.CE","C18:0.CE",4
"C20:5.CE","C20:5.CE",4
"C20:4.CE","C20:4.CE",4
"C20:3.CE","C20:3.CE",4
"C22:6.CE","C22:6.CE",4
"C46:2.TAG","C46:2.TAG",3
"C46:1.TAG","C46:1.TAG",3
"C46:0.TAG","C46:0.TAG",3
"C48:3.TAG","C48:3.TAG",3
"C48:2.TAG","C48:2.TAG",3
"C48:1.TAG","C48:1.TAG",3
"C48:0.TAG","C48:0.TAG",3
"C50:3.TAG","C50:3.TAG",3
"C50:2.TAG","C50:2.TAG",3
"C50:1.TAG","C50:1.TAG",3
"C50:0.TAG","C50:0.TAG",3
"C52:5.TAG","C52:5.TAG",3
"C52:4.TAG","C52:4.TAG",3
"C52:3.TAG","C52:3.TAG",3
"C52:2.TAG","C52:2.TAG",3
"C52:1.TAG","C52:1.TAG",3
"C54:7.TAG","C54:7.TAG",3
"C54:6.TAG","C54:6.TAG",3
"C54:5.TAG","C54:5.TAG",3
"C54:4.TAG","C54:4.TAG",3
"C54:3.TAG","C54:3.TAG",3
"C54:2.TAG","C54:2.TAG",3
"C54:1.TAG","C54:1.TAG",3
"C56:8.TAG","C56:8.TAG",3
"C56:7.TAG","C56:7.TAG",3
"C56:6.TAG","C56:6.TAG",3
"C56:5.TAG","C56:5.TAG",3
"C56:4.TAG","C56:4.TAG",3
"C56:3.TAG","C56:3.TAG",3
"C56:2.TAG","C56:2.TAG",3
"C58:8.TAG","C58:8.TAG",3
"C58:7.TAG","C58:7.TAG",3
"C58:6.TAG","C58:6.TAG",3
