3-phosphoglycerate	aconitate	adipate	alpha-ketoglutarate	AMP	citrate	isocitrate	CMP	DHAP/glyceraldehyde.3P	erythrose-4-phosphate	F1P/F6P/G1P/G6P	hexoses.(HILIC.neg)	fumarate/maleate/alpha-ketoisovalerate	glutathione.oxidized	glutathione.reduced	GMP	guanosine	hippurate	inosine	lactate	lactose	malate	NAD	NADP	oxalate	PEP	ribose-5-P/ribulose5-P	sorbitol	succinate/methylmalonate	sucrose	UMP	UDP-galactose/UDP-glucose	uracil	urate	xanthine	glycodeoxycholate/glycochenodeoxycholate	phosphocreatine	3-methyladipate/pimelate	alpha-hydroxybutyrate	malondialdehyde	alanine	threonine	methionine	asparagine	glutamine	histidine	arginine	lysine	valine	leucine	isoleucine	phenylalanine	tyrosine	tryptophan	proline	cis/trans-hydroxyproline	ornithine	citrulline	taurine	dimethylglycine	SDMA/ADMA	NMMA	allantoin	kynurenic.acid	5-adenosylhomocysteine	carnosine	thiamine	niacinamide	betaine	creatine	creatinine	thyroxine	trimethylamine-N-oxide	hexoses.(HILIC.pos)	xanthosine	cotinine	pyroglutamic.acid	butyrobetaine	methionine.sulfoxide	carnitine	acetylcarnitine	propionylcarnitine	malonylcarnitine	hexanoylcarnitine	lauroylcarnitine	myristoylcarnitine	palmitoylcarnitine	stearoylcarnitine	oleylcarnitine	arachidonyl_carnitine	sarcosine	beta-alanine	anserine	C16:1.LPC	C16:0.LPC	C18:1.LPC	C18:0.LPC	C20:4.LPC	C20:3.LPC	C22:6.LPC	C16:0.LPE	C18:1.LPE	C18:0.LPE	C32:2.PC	C32:1.PC	C32:0.PC	C34:4.PC	C34:3.PC	C34:2.PC	C34:1.PC	C36:4.PC-A	C36:4.PC-B	C36:3.PC	C36:2.PC	C36:1.PC	C38:6.PC	C38:5.PC	C38:4.PC	C38:2.PC	C40:6.PC	C14:0.SM	C16:1.SM	C16:0.SM	C18:1.SM	C18:0.SM	C22:1.SM	C22:0.SM	C24:1.SM	C24:0.SM	C34:1.DAG	C36:2.DAG	C36:1.DAG	C14:0.CE	C16:1.CE	C16:0.CE	C18:3.CE	C18:2.CE	C18:1.CE	C18:0.CE	C20:5.CE	C20:4.CE	C20:3.CE	C22:6.CE	C46:2.TAG	C46:1.TAG	C46:0.TAG	C48:3.TAG	C48:2.TAG	C48:1.TAG	C48:0.TAG	C50:3.TAG	C50:2.TAG	C50:1.TAG	C50:0.TAG	C52:5.TAG	C52:4.TAG	C52:3.TAG	C52:2.TAG	C52:1.TAG	C54:7.TAG	C54:6.TAG	C54:5.TAG	C54:4.TAG	C54:3.TAG	C54:2.TAG	C54:1.TAG	C56:8.TAG	C56:7.TAG	C56:6.TAG	C56:5.TAG	C56:4.TAG	C56:3.TAG	C56:2.TAG	C58:8.TAG	C58:7.TAG	C58:6.TAG
0	0	0	0	0	0	0	0	0	0.730250036997969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519720419250718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680825982321533	0	0	0	0	0	0	0	0	0	0.691959373970295	0.556510870658807	0	0	0	0.611944487220809	0	0.759018457272675	0.617361975351641	0	0	0	0	0	0	0.695396328439058	0	0	0.642838745340815	0.500521583769278	0.783704486915566	0.607752794494198	0.714432346525911	0.574292712663526	0.648090951020682	0.588916374332164	0.56117547276278	0	0	0	0	0	0.630661314757144	0.546354327068689	0.518014853807202	0.69522720307156	0.72906709198698	0	0.701398153027904	0.652994180461659	0.527243520126982	0	0	0.655353114137553	0.609078778396916	0	0.854778578225371	0	0	0.668598188393444	0	0.624261420437307	0	0	0	0	0	0	0	0	0	0	0	0	0	0.593134131243781	0	0	0	0	0	0	0.567930598306777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.550179277551138	0.547411732087476	0.558588750513855	0.658496391004241	0	0	0.588575569092426	0.673435762773471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.515749317820256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868528742762959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83685986656027	0	0	0	0	0	0	0	0.555023055200707	0.650029091951571	0	0	0	0	0	0	0	0.571074924171349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.83685986656027	0	0	0	0	0	0	0	0.53068218416939	0.69085279882937	0.576772513059554	0	0	0	0	0	0	0	0.664203566616052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.840181356688512	0	0	0.797210865389467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836355797509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529223571186967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546429294192122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.680825982321533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695908540712233	0.616922644411208	0	0	0	0.610754442403579	0.597310245916982	0.703131022185312	0.71456438974837	0	0	0	0	0	0	0.549638493846598	0	0	0.593077119409759	0	0.589987438789055	0	0.564377098643735	0	0.503535734709039	0	0	0	0	0.536007497257408	0.505421269002971	0	0.655266349778439	0.644444274472521	0.59380864982627	0.743303338962955	0.678188637979171	0	0.658672415462169	0	0	0	0	0.649617795810278	0.636238111521319	0	0.584475413449971	0.528219612264123	0	0.555853107734786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603590034748063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548961193132008	0	0	0.540364580199086	0.586400859791717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546429294192122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558570176229327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698461857914495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.523500431416196	0	0.547875299830145	0	0.570055432856779	0.545419248986906	0	0	0	0	0	0.868528742762959	0	0.53068218416939	0	0	0	0	0	0	0	0.547626802685524	0	0	0	0	0	0	0	0	0.630804419670759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.546299011668834	0.512197508145705	0	0	0	0	0	0	0.555023055200707	0.69085279882937	0	0	0	0	0	0	0.547626802685524	0	0	0	0	0	0	0	0	0	0.739948117399279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53286551416522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.650029091951571	0.576772513059554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612989402849884	0.639825369349948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659684536881459	0	0	0.567732831322957	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697216562512387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609987862064302	0	0	0	0.550207174791398	0.59097856356481	0.608640756573271	0	0.594477744339543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.590582918862924	0	0.560281319890086	0	0	0	0	0.516172080774282	0	0.500939745450059
0.741993796431931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.563908268325983	0	0	0	0	0	0	0	0.666377377773277	0	0.519720419250718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.691959373970295	0	0	0	0	0	0.695908540712233	0	0	0	0	0	0	0	0	0	0	0.560574682068713	0	0	0	0.573437828610148	0.618127641578287	0.735770952797717	0.550877203831509	0	0	0	0	0	0	0.580666241362362	0	0	0.619430094810998	0.51027547687938	0.566794296274092	0	0.614433873365474	0.513827434550782	0.541656230334991	0.531029129019441	0	0	0	0	0.556243344039921	0	0.678849708638497	0.64410744508207	0.569035630533621	0.708202261761919	0.711495452275864	0	0.656372521193124	0	0	0	0	0.635214448083918	0.535430256014171	0	0	0	0	0.545714557571386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536268394898195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.553387337889214	0	0	0	0.583774589278375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
